# Generated by scripts/generate-association-seeds.rb.
# key<TAB>candidate1<TAB>candidate2...
# Sources: local seed TSVs, McBopomofo associated phrases, typing corpora, IBus Cangjie, and Rime Cangjie dictionaries.
一	個	切	樣	時	下	步	起	點	次	同	隻	家	百	頁	件	定	口	方	日	笑	面	年	籌	會	回	看	提	聲	般	層	位	致	團	人	斑	陣	塊	些	條	世	天	千	生	把	直	開	息	炬	張	段	堆	種	格	萬	邊	座	半	代	髮	句	分	心	腳	場	票	新	連	堂	個人	切的	試	氣	篇	轍	部	大	等	來	簣	項	旦	貫	是	意	律	體	亮	群	套	名	頁候	月	空	化	呼	二	擊	本	九	向	算	份	台	處	屆	波	號	系	口氣	路	輩	根	歲	無	現	覺	事	手	指	比
一下	子
一世	紀
一九	九	八
一件	事
一個	人	月	個
一切	都
一口	氣
一句	話
一定	會	要	是
一年	級
一方	面
一時	間
一會	兒
一樣	的
一百	五	萬	五十
一百五	十
一直	在	都
一系	列
一般	人
一起	來
一連	串
一部	分
一開	始
一陣	子
一點	點
丁	香	字	堡	格	魚	國	美	守	文	肇	語	仁	當	等	二	班	下	丑	冬	汁	烷	蟲	上	公	基	孤	憂	烯	級	苯	解	母	男	種	艱	花	苡	酸	醇	項	都	國家	美洲	守中	格爾	肇中	香魚	字褲	香樹	的	丁冬	冬冬	公園	基橡	孤苦	苯橡	解牛	二烯	字尺	字形	字鎬	母憂	苡柔	香油	香花	和	就	必	稅	要	一	國家公	七	三	也	拿	既	有	看	說	丁冬冬	基橡膠	苯橡膠	五	來	八	六	受	只	吶	問	增	從	所	把	擾	數	果	照	用	盡	砍	一百	的子	都可	七十	三百	下去	二百	就在	必默	既然	有限	的官	的數	要一	都受	都殺	都要	上艾
丁丁	冬	冬冬
丁丁冬	冬
丁二	烯
丁基	橡	橡膠
丁基橡	膠
丁字	褲	尺	形	鎬
丁守	中
丁母	憂
丁肇	中
丁苡	柔
丁苯	橡	橡膠
丁苯橡	膠
丁香	魚	樹	油	花
七	十	日	年	個	月	千	天	六	百	隻	星	分	點	次	股	言	位	萬	人	名	八	成	號	一	億	零	學	家	嘴	四	夕	度	絕	上	世	件	力	彩	樓	種	雜	龍	公	律	情	扭	折	里	豎	六人	級	賢	尺	隊	十五	夾	節	十年	十三	個人	千人	歲	十七	十六	八糟	十八	月份	零年	千多	學年	家灣	分鐘	十幾	嘴八	四七	上八	年級	星山	雜八	點鐘	龍珠	倍	情六	扭八	股鄉	言絕	里香	豎八	級浮	頭	尺之	夾八	條	印	座	是	災	十個	十舍	日是	子	期	靈	位天	隻公	十人	十歲	日便	日的	節稱	隻母	盞	省	眼	雷	日歇	月初	零年代	學年度	家灣溪
七上	八	八下
七上八	下
七個	人
七六	人	人隊
七六人	隊
七分	鐘
七十	五	三	八	六	年	幾
七千	多	人
七嘴	八	八舌
七嘴八	舌
七四	七
七家	灣	灣溪
七家灣	溪
七年	級
七情	六	六慾
七情六	慾
七星	山
七月	份
七股	鄉
七言	絕	絕句
七言絕	句
七里	香
七零	年	年代
七零年	代
七點	鐘
七龍	珠
