# Small reviewed Cantonese homophone groups for local voice candidate fallback.
# Format: jyutping<TAB>space-separated single-character candidates.
faat3	法 發 髮
waa6	話 畫
sik1	識 式 色 息
si6	是 事 市 示 視 士
zi6	字 自 治 寺
gei2	幾 己 紀
dak1	得 德
jyu5	語 雨 羽 宇
syu1	輸 書
hau6	後 候
dung1	東 冬
ming4	明 名
jan4	人 仁
sau2	手 首 守
taai3	太 態
go3	個 過
ji4	而 宜 兒
gaa1	家 加 嘉 伽
jin6	現 見 件 健
ceot1	出 齣
gin3	見 建 件
ho2	可 渴
hou2	好 號
gam1	今 金 甘
jat6	日 入
tin1	天 添
hei3	氣 戲 器
heung1	香 鄉
gong2	港 講
jung6	用 傭
si3	試 式 視 示
gwong2	廣 講
dung3	凍 棟
jyut6	粵 月 閱
soeng4	常 嘗 償
cing1	清 青 稱
cing2	請 拯
gan2	簡 揀
tai2	體 睇
zung6	重 仲 頌
fuk1	複 復 覆
maat6	密 蜜
lok6	落 樂 洛
mun4	門 們
soeng2	想 上 賞
soeng3	上 尚
jyun4	完 員 圓
sing4	成 城 誠
ze6	謝 榭
gei_confusable	幾 己 紀 記 既 寄
hai2	喺 係
ni1	呢 尼
dyun6	段 斷 鍛
man4	文 聞 紋
jam1	音 陰
faan4	繁 煩
jyut_confusable	粵 月 閱 說
sou3	數 素 訴
biu1	標 錶
dim2	點 典
fu4	符 扶 芙
jau5	有 友
tung4	同 童 銅
bong1	幫 邦
fan1	分 昏 婚
co2	楚 礎
m4	唔 吾
bin3	變 遍 辨 辯
hou_confusable	好 號 皓
si_confusable	試 式 視 示 是 事 市 士
zung_confusable	中 終 忠 鐘 仲 重 眾
