# code	text	weight
ai	愛	100
an	安	100
ba	把	90
bai	白	90
ban	辦	90
bao	包	80
bei	北	80
ben	本	90
bi	比	80
bian	邊	80
bu	不	100
cai	才	90
chang	長	100
che	車	80
cheng	成	90
chi	吃	80
chu	出	100
da	大	100
dai	帶	80
dan	但	90
dao	到	100
de	的	100
deng	等	90
di	地	100
dian	點	100
dong	東	90
dui	對	100
duo	多	90
er	二	80
fa	發	90
fan	返	80
fang	方	80
fei	飛	80
fen	分	90
gang	港	100
gao	高	90
ge	個	100
gei	給	80
gong	工	80
guo	國	100
hai	還	100
hao	好	100
he	和	100
hen	很	90
hong	紅	80
hou	後	90
hua	話	100
hui	會	100
jia	家	100
jian	見	100
jin	今	90
jiu	就	100
kan	看	100
ke	可	90
lai	來	100
le	了	100
li	你	80
liang	兩	90
ma	嗎	100
mei	沒	100
men	們	100
ming	明	90
na	那	100
nei	內	80
neng	能	90
ni	你	100
nian	年	100
qing	請	90
qu	去	100
ran	然	80
ren	人	100
ri	日	90
san	三	80
shang	上	100
she	社	70
shen	身	80
sheng	生	90
shi	是	100
shou	手	90
shu	書	90
shui	水	90
si	四	80
ta	他	100
tai	太	90
tian	天	100
wan	完	80
wei	為	100
wo	我	100
wu	五	80
xi	西	80
xia	下	100
xian	先	90
xiang	想	100
xiao	小	90
xie	謝	100
xin	心	90
xing	行	90
xue	學	90
yao	要	100
ye	也	90
yi	一	100
yong	用	100
you	有	100
zai	在	100
zao	早	80
zhe	這	100
zhong	中	100
zi	字	90
zou	走	80
a	啊	80
ao	澳	80
chao	超	80
cong	從	90
cuo	錯	90
du	都	100
duan	段	80
gan	感	90
gao	稿	70
guan	關	100
guang	光	80
gui	貴	80
han	漢	90
hang	行	80
hu	戶	80
huan	還	90
huang	黃	80
jie	解	90
jing	經	100
kai	開	100
kong	空	90
kuai	快	90
la	啦	90
lan	欄	70
lao	老	90
liao	了	100
lin	林	80
ling	零	80
liu	流	80
lu	路	80
lun	論	80
mo	麼	90
mu	目	80
nan	難	90
nong	農	70
peng	朋	80
qi	起	100
qian	前	90
qiang	強	90
qiao	橋	80
re	熱	80
ru	如	90
sai	賽	70
se	色	80
shao	少	90
shei	誰	90
shuo	說	100
su	速	90
suan	算	90
sui	隨	90
tao	套	80
te	特	90
ti	體	100
tong	同	100
tou	頭	90
tu	圖	90
tui	推	80
wen	問	100
ya	呀	90
yan	言	90
yang	樣	100
yin	因	90
ying	應	100
yuan	元	80
yue	月	90
yun	雲	80
zhan	站	90
zhang	張	90
zhao	找	100
zhen	真	90
zhi	知	100
zhou	周	80
zhu	主	90
zhuan	轉	90
zhui	追	80
zhun	準	90
zong	總	100
zuo	做	100
zui	最	100
